Question,Answer,convertible,Open-ended answer
"Which of the characteristics of ice and lake sediment cores below can reveal information about past environments and climate change?

A) Biological remains
B) Changes in the chemistry of air bubbles
C) Temperature variation
D) All of the above",D,False,
"Which of the following ecosystem changes are linked to changes in the Greenland Ice Sheet?

A) Plants are migrating further north
B) Plants are migrating further south
C) Longer growing seasons","A, C",False,
"What is a grounding line?

A) The line between the area of melt water and frozen glacier
B) Lines carved out by a moving glacier
C) The line where the glacier or ice shelf becomes afloat",C,True,
"What is a Floe?

A) A flow of melt water
B) A sheet of sea ice
C) A large crack in the ice",B,True,
"Roughly how much sea level rise has there been globally since 2003 due to melting of Greenland's coastal ice caps?

A) 1mm
B) 2mm
C) 7mm",B,True,
"What is causing sea level to rise fastest?

A) Glaciers
B) Rainfall
C) Melting sea ice",A,False,
"What is the approximate combined contribution to global sea level rise caused by Greenland and Antarctica ice sheet melt?

A) 50%
B) 40%
C) 70%",B,True,
"When were the first aerial photographs taken?

A) 18th Century
B) 19th Century
C) 20th Century",B,True,
"Which of these is NOT an application of Earth Observation?

A) Weather forecasting
B) Forest cover
C) Tropical cyclone formation
D) Star brightness",D,False,
"What do we call the part of the spectrum where most of the sun’s energy is concentrated?

A) Optical
B) Thermal
C) Radar",A,True,
"The visible part of the electromagnetic spectrum is between which wavelengths?

A) 0.4-0.7 m
B) 400-700m
C) 400-700nm",C,False,
"An atmospheric window is a region of the spectrum where…?

A) We can view clouds?
B) There is a hole in the atmosphere?
C) Electromagnetic radiation is not absorbed, allowing us to view the surface of the Earth?",C,False,
"RADAR wavelengths are useful for EO because..

A) They allow us to see through clouds
B) They interact more usefully with plants and other biological systems
C) They allow us to see beneath the surface?",A,False,
"What is the advantage of geostationary satellites?

A) They orbit once per day and so see all of the Earth’s surface.
B) They focus on one particular part of the Earth over time.
C) They are high spatial resolution.",B,True,
"Observing land cover change is a key focus of satellite EO because?

A) It shows that the Earth’s surface changes little.
B) It is a highly effective way of observing changes in land use, especially those caused by man-made changes to the environment.
C) It helps us monitor weather patterns.",B,False,
"Observing lights from cities and other built areas is useful as a proxy indicator for?

A) Land cover change
B) Poverty
C) Forest cover","A, B",False,
"What is one of the key advantages of having a ‘constellation’ of one or more satellites making the same observations?

A) Redundancy – if one fails, we have a backup.
B) Increased temporal coverage.
C) Longer term monitoring.","A, B, C",False,
"What does the Sentinel-2 mission consist of?

A) Two optical instruments
B) One radar and one optical instrument
C) Two radar instruments",A,True,
"The spatial and temporal resolution of Sentinel 2 is…?

A) Much higher than Landsat?
B) Much lower than Landsat?
C) About the same as Landsat?",A,False,
"How many wavebands does Sentinel 2 sense in?

A) 12
B) 3
C) 13",C,True,
"Why do plants reflect more green light than other visible light?

A) Green light is used in photosynthesis
B) Green light is not used in photosynthesis",B,True,
"Does soil absorb more or less near infrared light than plants?

A) More
B) Less",A,True,
"What is LiDAR very good at measuring?

A) Sea surface temperature
B) Forest canopy height
C) Biomass
D) Land use change","B, C",True,LiDAR is very good at measuring forest canopy height and biomass.
"What form of remote sensing is LiDAR?

A) Passive
B) Active",B,False,
"A key advantage of EO in the optical part of the electromagnetic spectrum is?

A) We can measure the surface at night?
B) We can measure surface temperature?
C) We can use the sun’s reflected radiation to tell us about biological and physical processes?",C,False,
"Life evolved to exploit optical radiation because? (select all that apply)

A) The peak of the sun’s energy is here
B) Chlorophyll absorbs strongly here
C) It’s an accident of evolution","A, B",False,
"Optical polar-orbiting satellites may only see the surface of the Earth relatively infrequently because of?

A) Their orbit pattern
B) Their field of view
C) Cloud cover
D) Atmospheric interference",C,False,
"Observations using optical reflected EM radiation is processed using models in order to…?

A) Provide a quantitative, physical interpretation of the data
B) Provide better resolution
C) To change the colour schemes of the observations we see to aid interpretation",A,False,
"Observing ‘land use’ with satellite data enables the study of…?

A) How much vegetation is on the surface?
B) How humans use or have impacted on a particular area of land cover
C) The range of materials in a particular area of land cover",B,False,
"Since the 1970s the total area of the Aral sea has been observed using satellite data to have…?

A) Grown
B) Shrunk
C) Stayed the same",B,False,
"What is the so-called REDD+ Framework?

A) Countries’ efforts to reduce emissions from deforestation and forest degradation.
B) Measurements from Satellite EO most relevant to deforestation
C) International Forestry Commission preserving Biodiversity",A,True,
"Why is fire important for some ecosystems?

A) To remove old, dead vegetation and trigger new growth
B) To remove unwanted insects and animals
C) To change the ecosystem type",A,True,
"To estimate carbon emissions from burnt vegetation, we need to know the burnt area combined with what other information?

A) The type of vegetation burnt
B) The proportion of vegetation that actually burns
C) The temperature of the fire",B,True,
"The use of EO for wildfire applications ideally needs which of the following?

A) Frequent, rapidly updated image data
B) Infrequent but very high spatial resolution image data
C) Very low spatial resolution, but frequent data",A,False,
"What are EBVs?

A) Essential Biology Variables
B) Essential Biodiversity Variables
C) Essential Biodiversity of Vegetation",B,True,
"In the monitoring of biodiversity, EO is widely used for which of the following?

A) Monitoring the loss of biodiversity
B) Providing global, consistent observations of ecosystem services
C) Tracking the migration patterns of marine life
D) Measuring the extent of ecosystems and their changes","A, B, D",False,
"Ecosystem fragmentation is an important indicator of biodiversity degradation because?

A) It indicates the health of ecosystems and their resilience to change
B) It assesses the size of land use parcels
C) It measures land use change",A,False,
"The use of EO in monitoring protected areas is particularly useful for…?

A) gathering data over large areas
B) Covering urban regions
C) Coverage of inaccessible regions",C,False,
"Bathymetry from optical EO data allows…? (select all that apply)

A) Mapping and monitoring of shallow coastal systems
B) Deep ocean mapping
C) Glacial lake mapping","A, B",False,
"\Mangroves are monitored using optical EO data because…?

A) They reflect more infrared radiation than visible light
B) They are easily seen in optical imagery
C) They are difficult to access from the surface
D) They are sensitive ecosystems","B, C, D",False,
"The observation of inland waters with EO mainly includes...?

A) Seas
B) Lakes, reservoirs, and estuaries
C) Oceans",B,False,
"Optical EO data are used to measure the state of inland water bodies principally by assessing which of the following properties?

A) Water colour and clarity
B) Surface roughness
C) Salinity levels
D) Temperature",A,False,
"What are the main challenges of using satellite data to observe inland waters?

A) Obtaining suitable spatial resolution
B) Observing differences between bright (land) and dark (water) targets
C) Distinguishing between different types of constituents in the water (e.g. algae, sediments, dissolved substances).","A, B, C",True,"The main challenges of using satellite data to observe inland waters are obtaining suitable spatial resolution, observing differences between bright (land) and dark (water) targets, and distinguishing between different types of constituents in the water."
"The measurement of ‘Leaf Area Index’ (LAI) using satellite data relates to…?

A) The ‘greenness’ of the vegetation
B) The size of a forested area
C) The amount of leaf area in a specific ground area of the surface",C,False,
"Satellite data can be used to monitor the extent to which forests are exploited by humans for?

A) Wood and fuel
B) Raw materials for building
C) Removal for agriculture and cattle farming
D) Recreational activities","A, B, C",False,
"What is the term used to describe the regular or seasonal changes in the ecosystem (which can be observed using satellite data) - including the greening and senescence of vegetation, and the duration of animal migration?

A) Ecology
B) Phenology
C) Phrenology",B,True,
"What do NGOs such as WWF use remote sensing for?

A) understanding wildlife migration patterns
B) documenting illegal logging
C) preventing wildfires","A, B",True,NGOs such as WWF use remote sensing for understanding wildlife migration patterns and documenting illegal logging.
"Eutrophication of water bodies (which can be observed using optical EO data) is the process of…?

A) Increased nutrient input from the land to the water
B) The change of water colour over time
C) The change of water depth with evaporation",A,False,
"Human population grew from 4 million to around 1 billion over roughly what period of time?

A) A million years
B) 10,000 years
C) 100 years",B,True,
"Human impact on the atmosphere caused by CFCs was first seen in which part of the atmosphere?

A) Stratosphere
B) Troposphere
C) Mesosphere",A,True,
"Optical EO can be used to measure atmospheric gases by observing…?

A) How solar radiation is changed by absorption and scattering in the atmosphere
B) The reflection of sunlight at the surface
C) The change in the temperature of the atmosphere",A,False,
"How does optical EO identify specific gas species in the atmosphere?

A) By the reflective colour of gases
B) By the brightness of the surface
C) By the height of clouds",A,True,
"Optical EO uses what to measure the quantity of aerosols in the atmosphere?

A) Their colour
B) Their temperature
C) The strength of the absorption",C,False,
"Increasing NOx levels over China and elsewhere observed from the GOME and SIAMACHY instruments was due to?

A) Increasing coal use as a result of rapid economic development
B) Increased traffic levels
C) Wildfire burning",A,False,
"What are the two main methods by which Harmful Algal Blooms cause harm (select 2 answers)?

A) Anoxia (removal of oxygen from the water).
B) Making the water saltier
C) Making the water warmer
D) Toxins
E) Adding nutrients to the water","A, D",False,
"Can Harmful Algal Blooms occur naturally?

A) Yes
B) No",A,True,
"Where do we often see Harmful Algal Blooms ?

A) In the open ocean
B) In upwelling systems
C) Near the poles
D) Where nutrients enter the sea from the land","B, D",True,Harmful Algal Blooms are often seen in upwelling systems and where nutrients enter the sea from the land.
"How is ocean colour connected to fisheries?

A) Algae/phytoplankton are the base of the marine food chain, providing food for nearly all other living things in the sea.
B) Algal blooms can produce toxins that affect fisheries
C) Ocean colour can detect large groups of fish","A, B",True,"Ocean colour is connected to fisheries in several ways: Algae/phytoplankton are the base of the marine food chain, providing food for nearly all other living things in the sea. Additionally, algal blooms can produce toxins that affect fisheries"
"Algal blooms pose a threat to which industries?

A) Fishing
B) Tourism
C) Farming
D) Aquaculture","A, B, D",True,"Algal blooms pose a threat to the fishing, tourism and aquaculture industries."
"Which type of satellite data is useful for managing fisheries?

A) Sea surface height
B) Sea surface temperature
C) Atmospheric pressure",B,True,
"Ozone depletion in the stratosphere due to CFCs will take approximately how long to recover?

A) 10 years
B) 50 years
C) 100 years",B,True,
"Decreasing NOx observed over Europe from satellites was due to?

A) Reduced traffic levels
B) Changing solar radiation
C) Changes in policy encouraging cleaner fuels",C,False,
"Which of the following are ocean colour sensors ?

A) MERIS
B) AVHRR
C) CryoSat
D) MODIS
E) GRACE
F) SeaWiFS
G) CZCS","A, D, F, G",False,
"Why do algal blooms cause anoxia?

A) Algae remove the oxygen when they photosynthesis
B) Oxygen is removed when the algae die and decompose
C) Algae produce harmful gases that replace oxygen in the water",B,True,
"Why is satellite data particularly useful for developing countries?

A) It can provide a free source of data
B) It can provide high spatial and temporal coverage
C) It can observe remote regions
D) It increases local employment opportunities","A, B, C",True,"Satellite data is particularly useful for developing countries because it can provide a free source of data, high spatial and temporal coverage, and observe remote regions."
"Which type of sensing can be used alongside Optical EO to assist observations when there is cloud cover, and reveal additional features?

A) Altimetry
B) SAR
C) Gravimetry",B,True,
"UNOSAT provides support with satellite imagery analysis for which of the following?

A) Disaster response
B) Humanitarian support
C) Human security
D) Agricultural management
E) Human rights","A, B, C, E",False,
"What is the main cause of changes in ocean colour in coastal zones?

A) Sediments caused by erosion
B) Pollution from waste water
C) Pollution from land run off",B,True,
"What is the main obstacle to using optical EO in the aftermath of a severe weather event?

A) Tasking a satellite to image the relevant location
B) Spatial resolution
C) Cloud cover",C,True,
"Which satellites are effective in monitoring coastal zones?

A) Sentinel 1 and Acqua
B) Sentinel 2, Sentinel 3 and Landsat
C) Explorer 1",B,True,
"What is the name of the UN agency responsible for using satellite data?

A) UNHCR
B) UNOSAT
C) UNITAR",B,True,
"What are the two main obstacles to finding usable optical EO data of a location in the immediate aftermath of a disaster?

A) Image resolution and time of day
B) Legal agreements and cost
C) Revisit time of satellites over the area, and cloud cover",C,True,
"What is the main advantage of remote sensing in near real time, when monitoring conflict zones, refugees and migration?

A) Data is qualitative
B) Data is quantitative
C) Images are high resolution",A,True,
"What is the term typically used to describe the process of land cover change from fertile land to dry, arid landscape?

A) Encroachment
B) Drought
C) Desertification",C,True,
"When can optical EO data be used to observe populated areas?

A) Day and night
B) Only during the day
C) Only during the night",A,True,
"What changes in soil properties can we identify using Earth observation data?

A) Salinity
B) Colour
C) Temperature",B,True,
"What is the minimum repeat visit time required for monitoring crop health?

A) A few days
B) A few weeks
C) A few months",A,True,
"What other EO technologies can be used alongside optical for monitoring agriculture?

A) Altimetry
B) SAR (synthetic aperture radar)
C) Gravimetry",B,True,
"What aspects of human activity can increase desertification?

A) Urban growth
B) Agriculture
C) Industrial pollution
D) Tourism development","A, B",True,Aspects of human activity that can increase desertification are urban growth and agriculture.
"What is the ‘UN-SPIDER’?

A) A network of satellite data users
B) A new satellite mission funded by the UN
C) The international agreement for the use of satellite data in disaster relief",C,True,
"What are the legal restrictions on flying satellites over other countries?

A) There are no laws to restrict this.
B) The satellite must fly in an orbit authorised by the relevant nation.
C) The satellite can fly over but must not take any images without permission from the relevant country.",A,True,
"What is the name of the UN agency that can activate the UNOSAT image analysis team in relation to refugee crises.

A) WHO
B) UNHCR
C) UNESCO",B,True,
"What is the repeat visit time of Sentinel 2?

A) 20 days
B) 1 day
C) 5 days",C,True,
"Which aspects of a volcanic eruption can be monitored using optical EO?

A) Gas emissions
B) Lava flow
C) Terrain changes
D) Smoke plume and related aerosols","A, B, C, D",True,"The aspects of a volcanic eruption which can be monitored using optical EO include gas emissions, lava flow, terrain changes and smoke plume and related aerosols."
"What is a CubeSat?

A) A large cubic satellite.
B) A class of smaller satellites based on a 10cm cube
C) Satellites flying in formation",B,True,
"What is the purpose of a ground station?

A) To receive raw satellite data directly from the satellite
B) To provide a network of computers to distribute satellite data
C) To act as a storage facility for satellites",A,True,
"What is meant by open EO data?

A) Incomplete data requiring more measurements
B) Data that needs to be checked or validated
C) Data that is made freely available through online data portals, to researchers, and the general public",C,True,
"What is the main limiting factor affecting the sensitivity of optical sensors to longer wavelengths?

A) The size of the sensor
B) The resolution of the sensor
C) The materials from which the sensor is made",C,True,
"Which data collection method provides a wide range of different types of environmental information that is global, comprehensive, accurate, repeatable and timely?

A) Satellite Earth Observation
B) In Situ Observation
C) Interviews and Focus Groups
D) Surveying",A,True,
"Which Partnership Agreement was signed by the World Bank and European Space Agency in 2015?

A) Eoworld
B) Earth observation for sustainable development (EO4SD)
C) Earth observation for global development assistance (GDA)",B,True,
"What is the name given to the process of developing and strengthening the skills, instincts, abilities, processes and resources that organizations and communities need to survive, adapt, and thrive?

A) Technical co-operation
B) Conflict resolution
C) Development Assistance
D) Capacity Building",D,False,
"For policymakers at the national and local levels to be able to use EO data, a number of conditions must be met. What are these conditions? (Select multiple answers)

A) Transform and process large amounts of data into information that is practical
B) To know how to transform the data into actions
C) The capacity to collect local data on the ground to complement EO data
D) For all levels of society to be able to comprehend the data","A, B, C, D",False,
"Which role does EO play in Monitoring the Amazon?

A) Understand the change in forest cover and deforestation
B) Understand changes in land use at large scales
C) Understand where deforestation will happen next
D) Understand what is causing deforestation and land use change","A, B",True,"EO plays a crucial role in monitoring the Amazon by tracking changes in forest cover and deforestation, and understanding large-scale land use changes."
"How can EO help with disaster response?

A) Providing hazard mapping
B) supporting services for assessing exposure, vulnerability, and risk
C) Reconstruction monitoring","A, B, C",True,"EO helps with disaster response by providing hazard mapping, supporting services for assessing exposure, vulnerability, and risk, and through reconstruction monitoring."
"Why is the region of Latin America and the Caribbean becoming more vulnerable to natural disasters?

A) Increase in urbanisation
B) Increase in agriculture
C) Climate change increasing the intensity of disasters
D) Sea level rise","A, C",True,Latin America and the Caribbean is becoming more vulnerable to natural disasters due to an increase in urbanisation and climate change increasing the intensity of disasters.
"How did the Northern Uganda Social Action Fund project help to protect the Mogo district during El Niño?

A) By creating evacuation plans
B) By creating an early warning system for droughts through the use of EO
C) By using EO imagery to create Hazard maps",B,True,
"How did the European Space Agency and the Asian Development Bank collaborate to aid recovery efforts in Palu following the Sulawesi Earthquake in Indonesia?

A) Using EO to see where the stable areas and stable buildings are
B) Provide a clear picture of how many houses are being rebuilt or are in the process of being rebuilt.
C) Provide software tools and continuous training for local capacity building
D) Create a warning system for future earthquakes using EO data","A, B, C",True,"The European Space Agency and the Asian Development Bank collaborated to aid recovery efforts in Palu following the Sulawesi Earthquake by using Earth observation data to identify stable areas and buildings, providing a clear picture of how many houses were being rebuilt or were in the process of being rebuilt. They also provided software tools and continuous training to build local capacity."
"How much must food production increase by 2050 in order to feed nearly 10 billion people?

A) 50%
B) 56%
C) 70%
D) 78%",B,True,
"How can EO-derived information support sustainable development activities in marine and coastal environments?

A) Mapping coastal bathymetry and coastline change
B) Mapping changes in coastal land cover and land use
C) Monitoring of water quality and marine pollution
D) Assessments of coastal habitat extent and status
E) All of the above",E,True,
"What are three main trends that are impacting our world today besides technology?

A) Urbanisation
B) Climate change
C) Land use change
D) Conflict
E) Droughts","A, B, D",False,
"How is EO used to support growth and sustainability in fast growing urban areas such as in Latin America?

A) For modelling and mapping cities and their trends going forward, in order to get ahead of the curve towards a greener pattern for urban areas
B) For mapping where cities are now in order to change the layout of the cities to make them more sustainable and less crowded
C) By providing satellite images of fast-food restaurants and shopping malls, so that city planners can strategically place them in areas that need a boost in economic growth.",A,True,
"Why is EO extremely advantages in conflict-affected areas?

A) It provides a cost-effective way to get a comprehensive picture of the situation
B) It allows for regular monitoring of reconstruction efforts during the recovery phase
C) It provides a safe way to get data that cannot be done on the ground","A, B, C",True,"Earth observation is extremely advantages in conflict-affected areas as it provides a cost-effective way to get a comprehensive picture of the situation, allows for regular monitoring of reconstruction efforts during the recovery phase, and provides a safe way to get data that cannot be done on the ground."
"What is the main focus of the World Bank's recent embrace of data?

A) Producing glossy publications without datasets or code
B) Developing capacity building programmes with datasets and code
C) To focus on ground-based data collection to build up their own datasets",B,False,
"What are the aims of Sentinel 5p?

A) To measure sea-surface topography, sea- and land-surface temperature and ocean- and land-surface colour
B) To measure atmospheric composition to enhance our knowledge of climate change and air pollution
C) To monitor Vegetation, soil, and coastal areas
D) To collect the space-based measurements needed to quantify variations in the column averaged atmospheric carbon dioxide",B,True,
"Which of the following are notable characteristics of the TROPOMI instrument? (Choose multiple answers)

A) It has a high spatial resolution
B) It provides daily coverage
C) Is the 5th atmospheric satellite in history
D) It has a low spatial resolution","A, B",False,
"Which instrument did the Aeolus satellite carry?

A) GOME-2 - Global Ozone Monitoring Experiment–2
B) OLCI - Ocean and Land Colour Instrument
C) TROPOMI - Tropospheric Monitoring Instrument
D) ALADIN – the Atmospheric Laser Doppler instrument",D,True,
"Which is the most abundant gas in the atmosphere?

A) Oxygen
B) Nitrogen
C) Argon
D) Carbon Dioxide",B,True,
"In which layer of the Atmosphere are satellites found?

A) Troposphere
B) Stratosphere
C) Mesosphere
D) Thermosphere
E) Exosphere",D,True,
"In which layer of the Atmosphere is the ozone layer found?

A) Troposphere
B) Stratosphere
C) Mesosphere
D) Thermosphere
E) Exosphere",B,True,
"How do scientists produce Atmospheric composition forecasts?

A) Using knowledge about current climate patterns
B) By measuring current anthropogenic emissions and the impact these have on existing compounds
C) Using state-of-the art models that aggregate data from current satellite observations of chemical species",C,True,
"What is the name given to data derived from current and historical satellite instruments and in-situ instruments, combined with computer models?

A) Reanalysis data
B) Forecasting data
C) Regression data
D) Descriptive data",A,True,
"Which role do organisations such as Copernicus have with government intuitions?

A) Scientists from these organisations are experts in climate therefore they have a direct and active role in decision making and designing policy.
B) Data from these organisations is used to inform policy makers and their decision making.
C) These Institutions supply raw data and mathematical models to Policy makers so that policy makers can interpret the information and make decisions.
D) Copernicus and other organisations work within government and are largely made up of policy makers.",B,True,
"What is the definition of an Essential Climate Variable (ECV)?

A) A scientifically relevant component of the Earth’s climate
B) A physical, chemical, or biological variable or a group of linked variables that critically contributes to the characterisation of Earth’s climate
C) The chemical constituents of the atmosphere that is vital to human life",B,True,
"Which of the following is an example of how ECVs are used?

A) To provide the empirical evidence to support climate science and better predict future change
B) To guide climate change mitigation and adaptation measures
C) To assess climate risks
D) To attribute climatic events to underlying mechanisms
E) To support climate services
F) All of the above",F,False,
"How do scientists evaluate the accuracy of ECVs?

A) By comparing them to other satellite observations
B) By comparing them to independent field measurements
C) By comparing them to model simulation results","B, C",True,Scientists evaluate the accuracy of ECVs by comparing them to independent field measurements and to model simulation results.
"What are Greenhouse Gases (GHG)?

A) The gases found in our atmosphere that are harmful to human health
B) A mixture of gases found in our atmosphere that absorb and emit infrared radiation, causing the greenhouse effect
C) The gases with a fixed composition within our atmosphere",B,True,
"What, according to the Anthropocene Working Group (AWG), is the Anthropocene epoch?

A) The era in which humans started to walk this planet
B) The era in which human activity started to have a significant impact on the Atmosphere’s composition (Around 1950 - present)
C) The era of the industrial revolution that saw greater emissions in our planet (1760 to 1840)
D) The era of Agricultural revolution that saw huge scale impact on the Earth’s surface (12,000–15,000 years ago)",B,True,
"Which gas contributes to 60% of the additional heat to our atmosphere since the 1960s?

A) Carbon Dioxide (CO2)
B) Nitrogen Dioxide (NO2)
C) Methane (CH4)
D) Water Vapour (H2O)",A,True,
"What is calculated in and around an atmospheric model's ""grid box""?

A) Chemistry, aerosol distribution, and wind
B) Trace gas distribution, chemistry and solar radiation
C) Chemistry and wind",A,True,
"What is a Coupled Chemistry-Climate Model (CCM)?

A) A model which simulates the radiative transfer interactions of light scattering and absorption through the atmosphere.
B) A model that predicts both the chemistry and climate
C) A model which simulates atmospheric chemistry and may give air pollution forecasting.",B,True,
"In the atmospheric sciences, what are radiative transfer models (RTMs) used for?

A) To calculate radiative forcing for greenhouse gases, aerosols, or clouds
B) To forecast where aerosols will go
C) To calculate where emission sources are likely to be",A,True,
"What are atmospheric trace gases?

A) Gases that are present in large concentrations in the atmosphere including Nitrogen Dioxide and Oxygen
B) Gases that are present in small concentrations in the atmosphere including Nitrogen, Oxygen and Argon
C) Gases that are present in large concentrations of the atmosphere including Nitrogen, Oxygen, and Argon
D) Gases that are present in small concentrations of the atmosphere including Methane, Ammonia, and Formaldehyde",D,True,
"What technique do satellites use to identify and measure different trace gases?

A) Spectroscopy
B) Microscopy
C) Stereochemistry
D) Entropy",A,True,
"Which one of the following statements is true?

A) TROPOMI was the original instrument produced to identify Electromagnetic radiation
B) GOME-1 and GOME-2 are built on the legacy of TROPOMI
C) TROPOMI is the best instrument to date, and it is built upon the heritage of previous instruments: GOME and GOME 2
D) GOME is the best instrument we must measure electromagnetic radiation",C,False,
"How is TROPOMI used to support policy making?

A) By providing accurate and useable data about atmospheric composition in a range of gases in specified local and global areas
B) TROPOMI takes in-situ samples of air and gives a detailed breakdown analysis of atmospheric composition this information is used to inform policy makers",A,True,
"Which statements accurately describe Nadir and Limb observations

A) Nadir- viewing scans horizontal positions of the horizon to observe paths through the atmosphere at different altitudes
B) Nadir viewing mode looks vertically down to measure radiation emitted or scattered.
C) Limb Observation scans horizontal positions of the horizon to observe paths through the atmosphere at different altitudes
D) Limb observations look vertically down to measure radiation emitted or scattered.","B, C",False,
"Which one of ENVISAT’s instruments can observe both Nadir and Limb views?

A) SCIAMACHY Instrument
B) MWR Instrument
C) RA-2
D) DORIS",A,True,
"What range do the viewing instruments perform?

A) Limb Viewing has a high Vertical resolution over a short space
B) Limb Viewing has low spatial resolution horizontally
C) Nadir has high spatial resolution in the Horizontal direction
D) Nadir Viewing has low resolution over large areas","A, C",False,
"When did the British Antarctic Survey first recognise the significant depletion of Ozone above the South Pole?

A) 1930s
B) 1960s
C) 1980’s
D) 2000s",C,True,
"Select the false statement relating to the Ozone hole.

A) Replenishing the Ozone hole is a gradual process and it depends on international cooperation
B) The chemicals released into the atmosphere 40 years ago will be around for 100 years
C) The process of recovering the Ozone hole is irreversible
D) GOME instrument, the optical sensor on board ERS-2 Satellite can detect numerous trace gasses.",C,False,
"Which two statements below affect the concentrations of stratospheric Ozone?

A) Naturally occurring chemical reactions and exchanges of Ozone in the stratosphere
B) Seasonal variations in plant respiration and photosynthesis
C) Increases in intensive dairy farming
D) Ozone depleting chemicals resulting from through human activities","A, E",False,
"Which environmental treaty was successfully implemented in the 1980s to phase out the use of ozone depleting substances?

A) The Montreal Protocol
B) The Kyoto Protocol
C) The Protocol on Environmental Protection to the Antarctic Treaty
D) The Paris Agreement",A,True,
"Why do global Carbon Dioxide (CO2) levels vary throughout the year?

A) Because of plant respiration and photosynthesis causing a decrease in CO2 in spring and summer
B) Because of chemical reactions in the atmosphere triggered by cooler weather
C) It varies due to CO2 emissions from industries stopping and starting",A,True,
"Which of the following is the term for a ‘reservoir’ on the Earth’s surface that can absorb or remove Carbon Dioxide (CO2) from the atmosphere?

A) Carbon drain
B) Carbon sponge
C) Carbon Sink
D) Carbon Well",C,True,
"When compared to Europe, North America, and Asia, why were CO2 levels in parts of Africa high but NO2 levels low?

A) Because high levels of industry were the primary sources of CO2 emissions
B) Because biomass burning was the primary source of CO2 emissions
C) Because burning of fossil fuels was the primary source of CO2 emissions
D) Because cattle farming was the primary source of CO2 emissions",B,False,
"Which of the following is NOT a satellite used to measure CO2?

A) OCO-2
B) Aura
C) GOSAT
D) GRACE",D,False,
"Finish this statement: To understand the processes that control greenhouse gases:

A) We need to measure the amount of CO2 in the atmosphere to understand Greenhouse gases.
B) We need to understand where the CO2 in the atmosphere came from to understand the processes that control the amount of CO2 in the atmosphere
C) We need to predict measurements of CO2 to understand Greenhouse Gasses
D) We need to predict measurements of CO2 to understand the processes that control the amount of CO2 in the Atmosphere.",B,False,
"What is the FORUM Mission?

A) Far-infrared Outgoing Radiation Understanding and Monitoring
B) Far-Ozone climate Radiation Understanding and Monitoring
C) Feedback Outgoing Radiation Understanding and Monitoring
D) Far-Infrared Outgoing Radiation Understanding and Modelling",A,True,
"Which is the largest single Greenhouse Gas?

A) Carbon Dioxide
B) Water Vapour
C) Nitrogen Dioxide
D) Methane",B,True,
"Why does water vapour have a significant impact on temperature?

A) Water vapour contains heat in its molecules
B) Water vapour traps heat
C) Water vapour emits heat",B,True,
"Where does Rome’s main source of air pollution come from?

A) International flights
B) Factories
C) Motor Vehicles
D) Grazing of cattle",C,True,
"How frequently is the data collected from ARPA's 54-unit station analysed?

A) Hourly
B) Daily
C) Weekly
D) Monthly",B,False,
"What is an aerosol?

A) An aerosol is a gas.
B) An aerosol is a mixture of gases and fine particles or liquid droplets.
C) An aerosol is a mixture of only fine solid particles suspended in a gas.
D) An aerosol is a mixture of only liquid droplets suspended in a gas.",B,True,
"What are natural sources of aerosols?

A) desert dust
B) Fossil fuel combustion
C) Sea salt
D) Volcanic ash
E) Biomass burning","A, C, D",True,"Natural sources of aerosols are from desert dust, sea salt, and volcanic ash."
"Which of the following statement is not true?

A) Photochemical smog makes the brown haze in cities.
B) NO2 contributes to the formation of photochemical smog
C) The main emission sources of NO2 in cities are natural
D) Poor air quality causes millions of premature deaths worldwide each year.",C,False,
"How are aerosols and pollutants monitored using satellite data?

A) Satellite instruments can identify the different particulate matter in the atmosphere through macroscopic lenses and air samples.
B) Satellites measure the light that is reflected by the Earth and the atmosphere, and this is compared with models of ‘clean air’ to predict the pollutants causing the light to scatter
C) Aerosols have a specific wavelength that they absorb so you can use spectroscopy to identify them.
D) Lasers and lidars are used to detect reflected light of aerosols.","B, D",True,"Aerosols and pollutants are monitored using satellite data by measuring the light reflected by the Earth and atmosphere, which is then compared with models of 'clean air' to identify pollutants causing light scattering. Additionally, lasers and lidars are used to detect the reflected light from aerosols, helping to measure their concentration and distribution."
"Which variable is not considered in models when monitoring air pollutants?

A) Temperature and Wind
B) Rainfall
C) Air pressure
D) Population Density",D,False,
"Why can’t we predict air pollution levels long into the future?

A) Air pollutants are short lived
B) Air pollutants are long lived
C) Air pollutants are difficult to identify
D) We have not yet found an accurate model formular to help us predict future pollutant levels",A,True,
"Where do aerosols come from?

A) Aerosols are anthropogenic, they cannot come from natural sources such as deserts, volcanic emissions, or sea salt.
B) Aerosols only come from Anthropogenic sources such as industrial processes, burning of fuels and more.
C) Aerosols can be natural and anthropogenic so they can be from both natural sources, desert dust, sea salt etc and industrial processes.
D) Aerosols are naturally occurring particulates in the atmosphere like desert Dust, they do not come from anthropogenic sources.",C,True,
"What size are coarse particles of aerosols?

A) Less than 10 micrometres
B) Less than 5 micrometres
C) Less than 2.5 micrometres",A,True,
"How will MAIA measure aerosols?

A) MAIA will make infrared measurements
B) MAIA will make polarimetric and helioseismic measurements
C) MAIA will make radiometric and polarimetric measurements",C,True,
