Question,Answer
"Which type of satellite data is useful for managing fisheries?
Sea surface height
Sea surface temperature
Atmospheric pressure",B
"Ozone depletion in the stratosphere due to CFCs will take approximately how long to recover?
10 years
50 years
100 years",B
"Decreasing NOx observed over Europe from satellite was due to?
Reduced traffic levels
Changing solar radiation
Changes in policy encouraging cleaner fuels",C
"Which of the following are ocean colour sensors (select all that apply)?
MERIS
AVHRR
CryoSat
MODIS
GRACE
SeaWiFS
CZCS","A, D, F, G"
"Why do algal blooms cause anoxia?
Algae remove the oxygen when they photosynthesis
Oxygen is removed when the algae die and decompose
Algae produce harmful gases that replace oxygen in the water",B
"Why is satellite data particularly useful for developing countries?
It can provide a free source of data
It can provide high spatial and temporal coverage
It can observe remote regions
It increases local employment opportunities","A, B, C"
"Which type of sensing can be used alongside Optical EO to assist observations when there is cloud cover, and reveal additional features?
Altimetry
SAR
Gravimetry",B
"UNOSAT provides support with satellite imagery analysis for which of the following?
Disaster response
Humanitarian support
Human security
Agricultural management
Human rights","A, B, C, E"
"What is the main cause of changes in ocean colour in coastal zones?
Sediments caused by erosion
Pollution from waste water
Pollution from land run off",B
"What is the main obstacle to using optical EO in the aftermath of a severe weather event?
Tasking a satellite to image the relevant location
Spatial resolution
Cloud cover",C
"Which satellites are effective in monitoring coastal zones?
Sentinel 1 and Acqua
Sentinel 2, Sentinel 3 and Landsat
Explorer 1",B
"What is the name of the UN agency responsible for using satellite data?
UNHCR
UNOSAT
UNITAR",B
"What are the two main obstacles to finding usable optical EO data of a location in the immediate aftermath of a disaster?
Image resolution and time of day
Legal agreements and cost
Revisit time of satellites over the area, and cloud cover",C
"What is the main advantage of remote sensing in near real time, when monitoring conflict zones, refugees and migration?
Data is qualitative
Data is quantitative
Images are high resolution",A
"What is the term typically used to describe the process of land cover change from fertile land to dry, arid landscape?
Encroachment
Drought
Desertification",C
"When can optical EO data be used to observe populated areas?
Day and night
Only during the day
Only during the night",A
"What changes in soil properties can we identify using Earth observation data?
Salinity
Colour
Temperature",B
"What is the minimum repeat visit time required for monitoring crop health?
A few days
A few weeks
A few months",A
"What other EO technologies can be used alongside optical for monitoring agriculture?
Altimetry
SAR (synthetic aperture radar)
Gravimetry",B
"What aspects of human activity can increase desertification?
Urban growth
Agriculture
Industrial pollution
Tourism development","A, B"
"What is the ‘UN-SPIDER’?
A network of satellite data users
A new satellite mission funded by the UN
The international agreement for the use of satellite data in disaster relief",C
"What are the legal restrictions on flying satellites over other countries?
There are no laws to restrict this.
The satellite must fly in an orbit authorised by the relevant nation.
The satellite can fly over but must not take any images without permission from the relevant country.",A
"What is the name of the UN agency that can activate the UNOSAT image analysis team in relation to refugee crises.
WHO
UNHCR
UNESCO",B
"What is the repeat visit time of Sentinel 2?
20 days
1 day
5 days",C
"Which aspects of a volcanic eruption can be monitored using optical EO?
Gas emissions
Lava flow
Terrain changes
Smoke plume and related aerosols","A, B, C, D"
"What is a CubeSat?
A large cubic satellite.
A class of smaller satellites based on a 10cm cube
Satellites flying in formation",B
"What is the purpose of a ground station?
To receive raw satellite data directly from the satellite
To provide a network of computers to distribute satellite data
To act as a storage facility for satellites",A
"What is meant by open EO data?
Incomplete data requiring more measurements
Data that needs to be checked or validated
Data that is made freely available through online data portals, to researchers, and the general public",C
"What is the main limiting factor effecting the sensitivity of optical sensors to longer wavelengths?
The size of the sensor
The resolution of the sensor
The materials from which the sensor is made",C
"Which data collection method provides a wide range of different types of environmental information that is global, comprehensive, accurate, repeatable and timely?
Satellite Earth Observation 
In Situ Observation
Interviews and Focus Groups
Surveying",A
"Which Partnership Agreement was signed by the World Bank and European Space Agency in 2015?
Eoworld
Earth observation for sustainable development (EO4SD)
Earth observation for global development assistance (GDA)",B
"What is the name given to the process of developing and strengthening the skills, instincts, abilities, processes and resources that organizations and communities need to survive, adapt, and thrive?
Technical co-operation
Conflict resolution
Development Assistance
Capacity Building",D
"For policymakers at the national and local levels to be able to use EO data, a number of conditions must be met. What are these conditions? (Select multiple answers)
Transform and process large amounts of data into information that is practical
To know how to transform the data into actions
The capacity to collect local data on the ground to complement EO data
For all levels of society to be able to comprehend the data","A, B, C, D"
"Which role does EO play in Monitoring the Amazon? (Select multiple)
Understand the change in forest cover and deforestation
Understand changes in land use at large scales 
Understand where deforestation will happen next 
Understand what is causing deforestation and land use change","A, B"
"How can EO help with disaster response? (Multiple answers)
Providing hazard mapping
supporting services for assessing exposure, vulnerability, and risk
Reconstruction monitoring","A, B, C"
"Why is the region of Latin America and the Caribbean becoming more vulnerable to natural disasters? (Select two)
Increase in urbanisation
Increase in agriculture
Climate change increasing the intensity of disasters
Sea level rise","A, C"
"How did the Northern Uganda Social Action Fund project help to protect the Mogo district during El Niño?
By creating evacuation plans
By creating an early warning system for droughts through the use of EO
By using EO imagery to create Hazard maps",B
"How did the European Space Agency and the Asian Development Bank collaborate to aid recovery efforts in Palu following the Sulawesi Earthquake in Indonesia? (Select multiple)
Using EO to see where the stable areas and stable buildings are
Provide a clear picture of how many houses are being rebuilt or are in the process of being rebuilt.
Provide software tools and continuous training for local capacity building
Create a warning system for future earthquakes using EO data","A, B, C"
"How much must food production increase by 2050 in order to feed nearly 10 billion people?
50%
56%
70%
78%",B
"How can EO-derived information support sustainable development activities in marine and coastal environments?
Mapping coastal bathymetry and coastline change
Mapping changes in coastal land cover and land use
Monitoring of water quality and marine pollution
Assessments of coastal habitat extent and status
All of the above",E
"What are three main trends that are impacting our world today besides technology?
Urbanisation
Climate change
Land use change
Conflict
Droughts","A, B, D"
"How is EO used to support growth and sustainability in fast growing urban areas such as in Latin America?
For modelling and mapping cities and their trends going forward, in order to get ahead of the curve towards a greener pattern for urban areas
For mapping where cities are now in order to change the layout of the cities to make them more sustainable and less crowded
By providing satellite images of fast-food restaurants and shopping malls, so that city planners can strategically place them in areas that need a boost in economic growth.",A
"Why is EO extremely advantages in conflict-affected areas?
It provides a cost-effective way to get a comprehensive picture of the situation
It allows for regular monitoring of reconstruction efforts during the recovery phase
It provides a safe way to get data that cannot be done on the ground","A, B, C"
"What is the main focus of the World Bank's recent embrace of data?
Producing glossy publications without datasets or code
Developing capacity building programmes with datasets and code
To focus on ground-based data collection to build up their own datasets",B
"What are the aims of Sentinel 5p? 
To measure sea-surface topography, sea- and land-surface temperature and ocean- and land-surface colour 
To measure atmospheric composition to enhance our knowledge of climate change and air pollution
To monitor Vegetation, soil, and coastal areas 
To collect the space-based measurements needed to quantify variations in the column averaged atmospheric carbon dioxide",B
"Which of the following are notable characteristics of the TROPOMI instrument? (Choose multiple answers) 
It has a high spatial resolution
It provides daily coverage
Is the 5th atmospheric satellite in history 
It has a low spatial resolution","A, B"
"Which  instrument did the Aeolus satellite carry? 
GOME-2 - Global Ozone Monitoring Experiment–2   
OLCI - Ocean and Land Colour Instrument 
TROPOMI - Tropospheric Monitoring Instrument 
ALADIN – the Atmospheric Laser Doppler instrument",D
"Which is the most abundant gas in the atmosphere?  
Oxygen 
Nitrogen
Argon 
Carbon Dioxide",B
"In which layer of the Atmosphere are satellites found? 
Troposphere 
Stratosphere 
Mesosphere 
Thermosphere 
Exosphere",D
"In which layer of the Atmosphere is the ozone layer found?  
Troposphere 
Stratosphere
Mesosphere 
Thermosphere  
Exosphere",B
"How do scientists produce Atmospheric composition forecasts? 
Using knowledge about current climate patterns 
By measuring current anthropogenic emissions and the impact these have on existing compounds 
Using state-of-the art models that aggregate data from current satellite observations of chemical species",C
"What is the name given to data derived from current and historical satellite instruments and in-situ instruments, combined with computer models?
Reanalysis data
Forecasting data 
Regression data 
Descriptive data",A
"Which  role do organisations such as Copernicus have with government intuitions? 
Scientists from these organisations are experts in climate therefore they have a direct and active role in decision making and designing policy. 
Data from these organisations is used to inform policy makers and their decision making. 
These Institutions supply raw data and mathematical models to Policy makers so that policy makers can interpret the information and make decisions. 
Copernicus and other organisations work within government and are largely made up of policy makers.",B
"What is the definition of an Essential Climate Variable (ECV)?  
A scientifically relevant component of the Earth’s climate  
A physical, chemical, or biological variable or a group of linked variables that critically contributes to the characterisation of Earth’s climate 
The chemical constituents of the atmosphere that is vital to human life",B
"Which of the following is an example of how ECVs are used? 
To provide the empirical evidence to support climate science and better predict future change
To guide climate change mitigation and adaptation measures
To assess climate risks
To attribute climatic events to underlying mechanisms
To support climate services
All of the above",F
"How do scientists evaluate the accuracy of ECVs? 
By comparing them to other satellite observations
By comparing them to independent field measurements 
By comparing them to model simulation results","B, C"
"What are Greenhouse Gases (GHG)? 
The gases found in our atmosphere that are harmful to human health
A mixture of gases found in our atmosphere that absorb and emit infrared radiation, causing the greenhouse effect 
The gases with a fixed composition within our atmosphere",B
"What, according to the Anthropocene Working Group (AWG), is the Anthropocene epoch?
The era in which humans started to walk this planet 
The era in which human activity started to have a significant impact on the Atmosphere’s composition (Around 1950 - present)
The era of the industrial revolution that saw greater emissions in our planet (1760 to 1840)
The era of Agricultural revolution that saw huge scale impact on the Earth’s surface (12,000–15,000 years ago)",B
"Which gas contributes to 60% of the additional heat to our atmosphere since the 1960s? 
Carbon Dioxide (CO2)
Nitrogen Dioxide (NO2) 
Methane (CH4) 
Water Vapour (H2O)",A
"What is calculated in and around  an atmospheric model's ""grid box""?
Chemistry, aerosol distribution, and wind 
Trace gas distribution, chemistry and solar radiation
Chemistry and wind",A
"What is a Coupled Chemistry-Climate Model (CCM)?
A model which simulates the radiative transfer interactions of light scattering and absorption through the atmosphere.
A model that predicts both the chemistry and climate
A model which simulates atmospheric chemistry and may give air pollution forecasting.",B
"In the atmospheric sciences, what are radiative transfer models (RTMs) used for?
To calculate radiative forcing for greenhouse gases, aerosols, or clouds 
To forecast where aerosols will go 
To calculate where emission sources are likely to be",A
"What are  atmospheric trace gases? 
 Gases that are present in large concentrations in the atmosphere including Nitrogen Dioxide and Oxygen 
Gases that are present in small concentrations in the atmosphere including Nitrogen, Oxygen and Argon 
 Gases that are present in large concentrations of the atmosphere including Nitrogen, Oxygen, and Argon 
Gases that are present in small concentrations of the atmosphere including Methane, Ammonia, and Formaldehyde",D
"What technique do satellites use to identify and measure different trace gases? 
Spectroscopy 
Microscopy 
Stereochemistry 
Entropy",A
"Which one of the following statements  is true? 
TROPOMI was the original instrument produced to identify Electromagnetic radiation 
GOME-1 and GOME-2 are built on the legacy of TROPOMI 
TROPOMI is the best instrument to date, and it is built upon the heritage of previous instruments: GOME and GOME 2 
GOME is the best instrument we must measure electromagnetic radiation",C
"How is TROPOMI used  to support policymaking? 
By providing accurate and useable data about atmospheric composition in a range of gases in specified local and global areas
TROPOMI takes in-situ samples of air and gives a detailed breakdown analysis of atmospheric composition this information is used to inform policy makers",A
"Which statements accurately describe Nadir and Limb observations 
Nadir- viewing scans horizontal positions of the horizon to observe paths through the atmosphere at different altitudes 
Nadir viewing mode looks vertically down to measure radiation emitted or scattered. 
Limb Observation scans horizontal positions of the horizon to observe paths through the atmosphere at different altitudes 
Limb observations look vertically down to measure radiation emitted or scattered.","B, C"
"Which one of ENVISAT’s instruments can observe both Nadir and Limb views? 
SCIAMACHY Instrument 
MWR Instrument 
RA-2 
DORIS",A
"What range do the viewing instruments perform? 
Limb Viewing has a high Vertical resolution over a short space  
Limb Viewing has low spatial resolution horizontally
Nadir has high spatial resolution in the Horizontal direction 
Nadir Viewing has low resolution over large areas","A, C"
"When did the British Antarctic Survey first recognise the significant depletion of Ozone above the South Pole? 
1930s 
1960s 
1980’s 
2000s",C
"Select the false statement relating to the Ozone hole.  
Replenishing the Ozone hole  is a gradual process and it depends on international cooperation 
The chemicals released into the atmosphere 40 years ago will be around for 100 years 
The process of recovering the Ozone hole is irreversible 
GOME instrument, the optical sensor on board ERS-2 Satellite can detect numerous trace gasses.",C
"Which two statements below affect the concentrations of stratospheric Ozone?
Naturally occurring chemical reactions and exchanges of Ozone in the stratosphere 
Seasonal variations in plant respiration and photosynthesis
Increases in intensive dairy farming
Ozone depleting chemicals resulting from through human activities","A, E"
"Which environmental treaty was successfully implemented in the 1980s to phase out the use of ozone depleting substances? 
The Montreal Protocol  
The Kyoto Protocol  
The Protocol on Environmental Protection to the Antarctic Treaty  
The Paris Agreement",A
"Why do  global Carbon Dioxide (CO2) levels vary throughout the year?

Because of plant respiration and photosynthesis causing a decrease in CO2 in spring and summer
 Because of chemical reactions in the atmosphere triggered by cooler weather
It varies due to CO2 emissions from industries stopping and starting",A
"Which of the following is the term for a ‘reservoir’ on the Earth’s surface that can absorb or remove Carbon Dioxide (CO2) from the atmosphere? 
Carbon drain  
Carbon sponge 
Carbon Sink
Carbon Well",C
"When compared to Europe, North America, and Asia, why were CO2 levels in parts of Africa high but NO2 levels low?

Because high levels of industry were the primary sources of CO2 emissions 
Because biomass burning was the primary source of CO2 emissions
Because burning of fossil fuels was the primary source of CO2 emissions
Because cattle farming was the primary source of CO2 emissions",B
"Which of the following is NOT a satellite used to measure CO2? 
OCO-2  
Aura 
GOSAT 
GRACE",D
"Finish this statement: To understand the processes that control greenhouse gases: 
 We need to measure the amount of CO2 in the atmosphere to understand Greenhouse gases. 
We need to understand where the CO2 in the atmosphere came from to understand the processes that control the amount of CO2 in the atmosphere 
We need to predict measurements of CO2 to understand Greenhouse Gasses 
We need to predict measurements of CO2 to understand the processes that control the amount of CO2 in the Atmosphere.",B
"What  is the FORUM Mission?  
Far-infrared Outgoing Radiation Understanding and Monitoring 
Far-Ozone climate Radiation Understanding and Monitoring 
Feedback Outgoing Radiation Understanding and Monitoring 
Far-Infrared Outgoing Radiation Understanding and Modelling",A
"Which is the largest single Greenhouse Gas? 
Carbon Dioxide 
Water Vapour
Nitrogen Dioxide 
Methane",B
"Why does water vapour have a significant impact on temperature?
Water vapour contains heat in its molecules 
Water vapour traps heat
Water vapour emits heat",B
"Where does Rome’s main source of air pollution come from?
International flights 
Factories 
Motor Vehicles
Grazing of cattle",C
"How frequently is the data collected from ARPA's 54-unit station analysed? 
Hourly 
Daily
Weekly 
Monthly",B
"What is an aerosol?
An aerosol is a gas.
An aerosol is a mixture of gases and fine particles or liquid droplets.
An aerosol is a mixture of only fine solid particles suspended in a gas.
An aerosol is a mixture of only liquid droplets suspended in a gas.",B
"What are natural sources of aerosols?
desert dust
Fossil fuel combustion
Sea salt
Volcanic ash
Biomass burning","A, C, D"
"Which of the following statement is not true?
Photochemical smog makes the brown haze in cities. 
NO2 contributes to the formation of photochemical smog 
The main emission sources of NO2 in cities are natural  
Poor air quality causes millions of premature deaths worldwide each year.",C
"How are aerosols and pollutants monitored using satellite data? (Choose two) 
 Satellite instruments can identify the different particulate matter in the atmosphere through macroscopic lenses and air samples. 
Satellites measure the light that is reflected by the Earth and the atmosphere, and this is compared with models of ‘clean air’ to predict the pollutants causing the light to scatter  
Aerosols have a specific wavelength that they absorb so you can use spectroscopy to identify them. 
Lasers and lidars are used to detect reflected light of aerosols.","B, D"
"Which variable is not considered in models when monitoring air pollutants? 
Temperature and Wind 
Rainfall 
Air pressure 
Population Density",D
"Why can’t we predict air pollution levels long into the future? 
Air pollutants are short lived 
Air pollutants are long lived 
Air pollutants are difficult to identify 
We have not yet found an accurate model formular to help us predict future pollutant levels",A
"Where do aerosols come from? 
Aerosols are anthropogenic, they cannot come from natural sources such as deserts, volcanic emissions, or sea salt. 
Aerosols only come from Anthropogenic sources such as industrial processes, burning of fuels and more. 
Aerosols can be natural and anthropogenic so they can be from both natural sources, desert dust, sea salt etc and industrial processes. 
Aerosols are naturally occurring particulates in the atmosphere like desert Dust, they do not come from anthropogenic sources.",C
"What size are coarse particles of aerosols?
Less than 10 micrometres
Less than 5 micrometres
Less than 2.5 micrometres",A
"How will MAIA measure aerosols?
MAIA will make infrared measurements
MAIA will make polarimetric and helioseismic measurements
MAIA will make radiometric and polarimetric measurements",C
"Why is it important to measure the trace gases Formaldehyde (HCHO) and Glyoxal (CHOCHO)? 
Despite the fact that formaldehyde (HCHO) and glyoxal (CHOCHO) have short lifetimes, we need to understand the chemistry of the atmosphere in order to understand its composition and how different reactions occur.
Formaldehyde (HCHO) and Glyoxal (CHOCHO) have long lifetimes and are therefore hugely detrimental to human health. 
Formaldehyde (HCHO) and Glyoxal (CHOCHO) have a long lifetime so their impact on atmospheric chemistry needs monitoring for us to understand the atmosphere. 
Trace gases make up most of our atmosphere so we need to understand the chemistry so we can understand how they interact with the greenhouse gases on a global scale.",A
"How are Trace gases measured? 
Trace gases can only be measured in situ at source. 
Trace gases can only be used by instruments on board satellites 
Trace gases can be measured in situ and by using satellites data. 
Trace gases are predicted my models but there is no way of measuring them directly.",C
"Which of the following are anthropogenic sources of Formaldehyde?
Industrial combustion processes
Fuel combustion from traffic
Cattle ranching
Biomass decomposition","A, B"
"What is the main anthropogenic source of Ammonia? 
Motor Vehicles 
Mining 
Agriculture
Waste composting",C
"How have Ammonia Emission trends changed? 
Since the 1980’s Ammonia has increased in our atmosphere, however now they are starting to flatten. 
Since 1980's Ammonia has decreased in our atmosphere, however now levels are starting to flatten
Since the 1980s Ammonia has decrease in our atmosphere however, now they are starting to increase. 
Since the 1980s Ammonia has increased in our atmosphere, however in the past two years they are starting to decrease.",A
"How does Ammonia influence the climate 
Ammonia is a greenhouse gas and directly contributed to warming up the climate 
Ammonia pure is a solid particulate that directly impacts human health and retains heat from the sun 
Ammonia reacts with acidic pollutants to produce ammonium aerosol which is believed to influence the climate. 
Ammonia is a trace gas, and it has no impact on the climate.",C
"Why are in situ measurements used as well as satellite measurements? 
In situ observations provide quality control on the combined information from models and satellite observations. 
In situ measurements can provide global coverage where satellites can’t  
Satellites are used to validate in situ instruments",A
"What is the DOAS method?
the Differential Optical Absorption Spectroscopy-Method
the Differential Outdoor Absorption System-Method
the Dedicated Optical Absorption in Situ-Method",A
"Which of the following is the main advantage of taking measurements from aircraft instead of satellites?
They provide better global coverage than satellites do due to being lower in the atmosphere
There are no advantages
They can fly lower in the atmosphere than satellites, which gives them a better spatial resolution 
They can be used to provide quality control for satellite measurements and ground-based measurements",B
"What is HALO? 
A High Altitude and Long-Range Research Aircraft 
A Helium at Long Range Observation balloon
A High Ammonium Long Range Observation Aircraft
A High-Altitude Low Range Research Aircraft",A
"What does EMeRGe stand for? 
Effect of Megacities on the Transport and Transformation of Pollutants on the Regional to Global Scales  
Emission monitoring on the Transport and Transformation of pollutants on the Regional to Global Scales. 
Effect of Monitoring transport and transformation of pollutants on the Regional to Global Scales. 
Effect of monitoring on the transport and transformation of pollutants on the Regional to Global Scales.",A
"Which chemical species does the EMeRGe project focus on?
Photochemical O3
PM2.5
Nitrogen oxides
Volatile Organic Compounds (VOCs)
Greenhouse gases","A, C, D, E"
"The First stage of EMeRGe was in which City in 2017? 
Budapest, Hungary 
Oberpfaffenhofen, Germany 
Taipei, Taiwan",B
"Who can access open EO data? 
The data is open, which means that only policy makers and decision makers can access it 
The data is open, which means that only the scientific community can access it 
The data is open, which means that people beyond the scientific community have access to it. 
The data is open, which means that anybody with significant capital to access the data can use it.",C
"How is open Earth Observation data used in policymaking? 
Earth observation data is sufficient, and it is used to sort and understand complex problems. 
Earth Observation data supplements a huge variety of data sources to build a strong evidence base for decision making 
EO data is not used for Policy decision making. 
Policy makers directly work with Earth Observation data to inform their decisions.",B
"Which role does Open Earth Observation data have? 
EO data is only used for decision making 
EO data is only used to verify the efficacy of policies 
EO data is only used to understand past and current situations. 
EO data is used in understanding past situations, monitoring current states, and verifying the efficacy of international agreements and policies.",D
"What was the  purpose of the Aeolus Satellite? 
To measure  trace gases
To measures local wind speed in multiple layers of the atmosphere 
To measures global wind speed in multiple layers of the atmosphere
To measure anthropogenic carbon dioxide","C, D"
"How can a Satellite be used to understand forest fires? (Select more than one) 
Satellites can measure directly what forest fires are putting into the atmosphere - the aerosols and trace gases. 
Satellites can measure the wind in different parts of the Atmosphere and therefore we can predict the way in which the fire will spread. 
You can view and map the burned area of the forest fire based on the Infrared sensors, the radiated heat.","A, B, C"
"Which of the following statements is true? 
Wind is the only condition that determines the spread of particulates and other atmospheric components. 
Satellites help us improve models, which include wind analysis, so that we can predict the movement of particulate matter in the atmosphere.  
Wind has little effect on the distribution of particulate matter and aerosols because they have a short life",B
"Aeolus measured which conditions? 
Light reflected from the ground 
Precipitation 
Winds in the atmosphere",C
"What is the name of the effect when light changes colour due to a change in the wave frequency? 
Doppler Shift 
Vascular Shift 
Wave Shift",A
"How do climate models and weather models relate? 

Climate models are the same as weather models. 
Climate models are like weather models, and they are coupled with Earth System Models (Atmosphere, land, ocean, and Ice) on a scale of years rather than days. 
Climate models have no relation to weather models.",B
"What is ‘prescribed burning’ 
An estimate of the area that will undergo a wildfire outbreak 
Intentional and controlled burning of an area to manage and prevent wildfire outbreaks 
Unintentional burning of an area also known as a wildfire outbreak",B
"What is the purpose of experimental fires? 
So that data read from overhead aircraft during an experimental fire, can help scientists to understand how the imagers respond when they collect data from fires 
Instruments that detect the smoke from experimental fires on the ground can tell us what chemicals are in the smoke, these readings help us to validate satellite information. 
Scientists experiment with these particular fires to train other scientists how best to manage and put out the fire.","A, B"
"Which of the following statements about the composition of smoke produced by forest fires is incorrect? 
The type of vegetation that is burned impacts the composition of smoke produced by forest fires. 
The wind conditions impact the composition of smoke produced by forest fires. 
The temperature of the fire impacts the composition of smoke produced by forest fires. 
Smoke has the same chemical composition, there is just more or less dependent on how much water vapour is in the mix.",D
"How does the Infrared Spectrometer instrument work? 
The instrument collects small vials of gases that are tested inside the machine to show what chemicals and particulates are present 
The instrument sends out a beam of light which is then absorbed and reflected by the molecules in the smoke. These absorptions create a frequency that acts as a fingerprint to identify various compounds in the smoke. 
The instrument has a filter that absorbed the particulate matter, the solid compounds on the filter can then be studied to identify the particles present.",B
"Which two Greenhouse gases released by agricultural activity have the most significant impact on the atmosphere? 
Carbon dioxide
Hydrogen chloride
Methane
Water vapour
Nitrous oxide 
Ozone","C, E"
,
"Around how much carbon is added into the atmosphere each year as a result of land-use change?
1 Gt
1.6 Gt
2.7 Gt
7.6Gt",B
"Which chemical species have been found to have increased in concentration in the atmosphere over Maritime Southeast Asia in El Niño years in October?
Tropospheric ozone
Carbon monoxide
Methane
Nitrogen oxide
Smoke aerosols","A, B, D, E"
"Which statement is true about a Volcano's impact on humans and animals? 
Volcanoes only impact local people and animals. Soot, lava, and gas is produced in high quantities at the source, but rarely does it travel beyond a couple of KMs. 
Volcanoes release magma with soot and gas that can impact local areas and downwind environment in a short space of time. 
It takes a long space of time for volcanic ash, gas, and debris to circulate beyond the local area.",B
"Which two Satellite instruments make it possible to detect emissions produced by Volcanoes? 
TROPOMI measures atmospheric columns 
Aeolus determines winds and the thickness of ash plumes 
DUS-T Detector measures the solid particulate matters in the air.","A, B"
"Which of the following  are the main gases that are released in Volcanic eruptions? 
Water vapor  
Methane
Carbon dioxide  
Sulphur dioxide  
Oxygen","A, C, D"
"What is Saharan Dust? 
Saharan Dust is a mineral dust, part of the aerosol group. 
A satellite that measures dust quantities 
Saharan dust is a mixture of minerals and gases found in the Saharan atmosphere",A
"When does the Saharan Air Layer form? 
Between late Spring and Early Autumn 
Between Early Autumn and Late winter 
Between Early Winter and Late Spring",A
"Hurricane Ophelia caused the sun and skies to have which colour glow? 
Red sun and pink skies 
Red sun and yellow skies 
Pink sun and purple skies",B
"Who is the Copernicus data available to?
Policy Makers
Paying businesses and consumers
Researchers
Freely available to everyone",D
"What are the key thematic areas covered by Copernicus?
Transport and Aviation
Land Management, the Marine Environment
Atmosphere, Emergency Response
Security and Climate Change","B, C, D"
"What name is given to the main Satellite mission in the Copernicus programme?
Sentinel
Landsat
Terra
World view",A
,
"What area of interest does Copernicus CAMS focus on?
Climate Monitoring
Atmosphere Monitoring
Ocean Monitoring
Land Monitoring",B
"Which Copernicus service supports society by providing information about past, present and future climate in Europe and globally?

CAMS
CLMS
CMEMS
C3S",D
"AI and ML can be a solution to which of the following challenges presented by data recorded by satellites? (Select all that apply)
Quantity of data
Storage of data
Analysis of data 
Training the data
Resources used to process the data","A, B, C, D, E"
"AI and ML helps us to process and understand data. About how much data do the Sentinels generate?
Gigabytes
petabytes
terabytes
megabytes",B
"What is the name of the EU Copernicus DIAS reference service for environmental data, virtual processing, and skilled user support?
CREODIAS 
WEkEO
ONDA
Sobloo",B
"What are the aims of the Copernicus programme? (Select all that apply)
Monitor and forecast the state of the environment on land, sea and in the atmosphere
Support climate change mitigation and adaptation strategies
To be the leading business driven operational agency in Europe for Earth observation satellite programmes
To sell EO data to businesses for applications","A, B"
"What is Sentinel-3's main area of research?
Air quality 
Land use change
Marine environment
Land vegetation",C
"What role does data fusion have within EO? (Select all that apply)
It Integrates multiple data sources to produce more consistent, accurate, and useful information
It helps to find more connections between the data 
To minimise the amount of data that is being captured
To provide more general and comprehensive answers","A, B, D"
"What are the challenges that make using AI and Earth monitoring different from other computer vision problems?
Earth observation imagery is very large so it takes much longer to process through models
Training data sets for EO are few and far between at the moment and they take a long time to create.
Combining different types of EO data sets is challenging 
in order to fuse EO data with other data sources, it may need to be geo-located which can be complicated
AI supporting IT systems are limited, which slows down the use of AI for EO","B, C, D"
"What are TWO advantages of using Jupyter Notebooks for data science? 
You can see both code and results 
It is very easy to test long asynchronous tasks
Provides interactive code and data exploration","A, C"
"Artificial Intelligence relies on…?
Machines thinking consciously for themselves
Training data built by humans for machines
Training data built by machines for machines
Algorithms built by humans for machines","B, D"
"What can cause problems for AI Earth Monitoring using Optical imagery and object recognition? (Select all that apply)
Clouds
Shadows
Pixel resolution
Increased solar radiation","A, B, C"
"Which statements are incorrect? (Select all that apply)
Unsupervised learning is where ML is given a training data set that does have labels
Unsupervised learning is where ML is given a training data set that does not have labels
Supervised learning is a method of training an algorithm where a data set consists of two parts: The data itself and a label. 
Supervised learning is a method of training an algorithm where data has no labels.","A, D"
"Which ML algorithm is described as a simple classification and regression method and is one of the most used learning algorithms?
K-Nearest Neighbour
L- Further Neighbour
K- Nearest Partner
K- Classification Neighbour",
"In terms of ethics, where do we tend to have information gaps of which we need to be aware of when understanding Data Bias?
Europe and America
Global North
Global South
Major cities",C
"To Mitigate against data use that may be harmful, how are scientists developing their research?
Bottom- up research and development approaches
Top-down research and development approaches
Awareness of data bias
Making data open and available",
"What is an example of a Python framework?
Tensorflow
TensorGo
React
Gradient boosting",A
"What Machine Learning paradigm involves training ML models to make a sequence of decisions?
Supervised Learning
Unsupervised Learning
Reinforcement Learning
Gradient boosting",C
"What type of machine learning algorithm separates data into different classes linearly? 
Decision trees
Support Vector Machines
K-Nearest Neighbour
Gradient boosting",B
"What are some ethical considerations that need to be considered when working with EO data and AI? (Choose all that apply)
Whether the data collection will be breaching GDPR
Whether the algorithms may be biased due to biased training data
Whether using unlabelled data with unsupervised methods will make the results inaccurate
Whether the data used is correct and accurate","A, B, D"
"What is xgboost?
A neural network that is best for image recognition
An end-to-end open-source platform for machine learning that uses the K-Nearest Neighbour technique
An ensemble technique that uses a ‘boosting’ method to combine decision trees
A gradient boosting library designed for speed and performance.",D
"What is the main purpose of unsupervised learning? 
To find correlations among unlabelled data 
To train or “supervise” algorithms into classifying data or predicting outcomes accurately
To predict the correct label for newly presented input data",A
"What is Copernicus CLMS?
The Copernicus Climate Change for Society Group
Copernicus Land Monitoring Service
Copernicus Land Management Service
Copernicus Local Monitoring Service",B
"What spatial resolution does Sentinel-2 provide for its optical imagery?
100 - 200m
300 - 400m
10 - 60m
2 - 2.5m",C
"In the example given in topic 3a, what can satellites tell us about the quality of the forests that grow in areas cleared from logging?
Less quality of biodiversity
Less layers of vegetation
Less diverse species of vegetation
Shorter tree species","A, B, C"
"AI and Satellites give us information about Soil Sealing, and they can detect when changes occur. What is Soil Sealing?
A process by which contaminated soils cover forested areas, which results in animals and vegetation dying.
Where impervious materials cover the soil.
The high use of soil in areas that are then compressed to create a seal over previously concreted area.",B
